date,username,content,retweets,likes
2022-10-24 11:28:54+00:00,ImranKhanPTI,"&amp; safeguarded against excesses by the State &amp; govt. We have seen citizens, politicians, journalists &amp; human rights defenders intimidated,arrested, charged with terrorism &amp; incitement to mutiny, tortured.We see fake cases, misuse of power by different executive branches expanding.",15177,43196
2022-10-24 11:28:53+00:00,ImranKhanPTI,Arshad Sharif's murder has sent shockwaves across Pak. It has highlighted an ongoing targeting of anyone who dares to criticise or question those holding power.When will our senior Judiciary act to ensure our citizens fundamental rights enshrined in the Constitution are protected,27940,80793
2022-10-24 11:23:40+00:00,CMShehbaz,Just had a telephonic call with Kenyan President William Ruto about the tragic death of Arshad Sharif in 🇰🇪. I requested him to ensure fair &amp; transparent investigation into shocking incident. He promised all-out help including fast-tracking the process of return of the body to 🇵🇰,3760,18549
2022-10-24 09:24:10+00:00,CMShehbaz,I am leaving for Saudi Arabia today on the invitation of HRH Crown Prince Mohammed Bin Salman to attend the Future Investment Initiative Summit. The present state of the global economy needs new thinking &amp; bold vision to overcome the irritants &amp; forge new paths. /1 #FII6,1154,5429
2022-10-24 07:48:41+00:00,ImranKhanPTI,My prayers and condolences go to his grief stricken family.,18899,60820
2022-10-24 07:48:40+00:00,ImranKhanPTI,"A proper judicial investigation must be instituted to examine his own statements plus evidence that other sources have. We have descended into a state of brutality, unknown in civilised society, indulged in by the powerful against those who dare to criticise &amp; expose wrongdoings",21965,63356
2022-10-24 07:48:39+00:00,ImranKhanPTI,"Shocked at the brutal murder of Arshad Sharif who paid the ultimate price for speaking the truth - his life. He had to leave the country &amp; be in hiding abroad but he continued to speak the truth on social media, exposing the powerful. Today the entire nation mourns his death.",40209,118289
2022-10-24 07:21:58+00:00,CMShehbaz,"Polio is a deadly virus that disables children, stunts their future &amp; undermines national progress. Unfortunate that polio still exists in our country. On #WorldPolioDay today, I reiterate my government's unflinching resolve to get rid of this virus through renewed efforts.",392,1626
2022-10-24 05:05:59+00:00,CMShehbaz,"Wishing the Hindu community in Pakistan and around the world on Diwali 🪔, the festival of lights. 

May the day bring peace, joy and harmony to our world!",627,5616
2022-10-24 04:11:33+00:00,CMShehbaz,I am deeply saddened by the shocking news of journalist Arshad Sharif's tragic death. May Allah SWT grant him a place in Heaven. My deep condolences and prayers for the bereaved family.,2661,18478
2022-10-23 11:55:53+00:00,CMShehbaz,"Brilliant effort, Team Pakistan 🇵🇰 👏. Great game!",1654,20085
2022-10-23 04:42:14+00:00,CMShehbaz,"On behalf of the entire Pakistani nation, I congratulate President Xi Jinping on his reelection as CPC General Secretary for the 3rd term. It is a glowing tribute to his sagacious stewardship and unwavering devotion for serving the people of China. 🇵🇰 🇨🇳",985,4536
2022-10-21 15:16:50+00:00,CMShehbaz,Pakistan 🇵🇰 exiting the FATF grey list is a vindication of our determined and sustained efforts over the years. I would like to congratulate our civil &amp; military leadership as well as all institutions whose hard work led to today's success. Aap sab ko bohat bohat Mubarak :),2797,10237
2022-10-21 04:52:47+00:00,CMShehbaz,"Nations derive their strength from the youth who power their journey &amp; animate their future. This in turn requires investment in their development. Some power-hungry politicians have had no qualms about making them prey for their partisan agenda, which is unfortunate.",556,2390
2022-10-20 03:52:10+00:00,ImranKhanPTI,Saddened to learn of young PTI tiger Taha Sheikh's death. On 7th Oct he was shot in front of his house in what looks like a targeted hit. Taha  succumbed to his injuries &amp; passed away. Sindh police has yet to arrest the culprits. My prayers &amp; condolences go to his family.,14548,49075
2022-10-19 17:08:11+00:00,ImranKhanPTI,"Strongly condemn the attack on PTI Karachi President MPA Bilal Ghafar by PPP goons lead by their MPA Saleem Baloch.
Surprised to see that police has still not registered FIR against the attackers even when many of them were eyewitness to this assassination attempt on Bilal.",14286,43899
2022-10-19 13:08:40+00:00,CMShehbaz,"Pakistan Climate Council has been tasked to synergise efforts for fashioning an effective national strategy on climate change. Coordinating with all stakeholders, the Council will work on the various facets of climate change such as mitigation, adaption &amp; climate finance.",595,2246
2022-10-16 03:49:30+00:00,ImranKhanPTI,"Everyone must turnout to vote in all the constituencies where bye elections are being held today. This is a referendum for Haqiqi Azadi from the cabal of crooks. We are contesting against all of PDM, the Election Commission and ""namaloom afraad"".",17825,55284
2022-10-15 13:15:16+00:00,CMShehbaz,Let me reiterate unequivocally: Pakistan is a responsible nuclear state and we are proud that our nuclear assets have the best safeguards as per IAEA requirements. We take these safety measures with the utmost seriousness. Let no one have any doubts.,3247,11803
2022-10-15 08:37:15+00:00,ImranKhanPTI,"My greatest worry is that apart from leading us to economic ruin &amp;, with NRO2 for themselves, giving a license to white collar criminals to plunder the country, this govt will also end up completely compromising our national security.",21737,57637
2022-10-15 08:37:14+00:00,ImranKhanPTI,"across the world, when has Pakistan shown aggression esp post-nuclearisation? Equally imp,this
Biden statement shows total failure of Imported govt's foreign policy &amp; its claims of ""reset of relations with US""? Is this the ""reset""?This govt has broken all records for incompetence",22792,60926
2022-10-15 06:15:13+00:00,CMShehbaz,I express our profound sadness at the loss of precious lives in an explosion at a coal mine in Turkey’s Bartin province. Our thoughts &amp; prayers are with the bereaved families &amp; the Turkish people. May those still trapped are rescued at the earliest.,558,2826
2022-10-15 05:10:55+00:00,CMShehbaz,"I strongly condemn the assassination of Justice M. Noor Meskanzai, former Chief Justice of Balochistan High Court &amp; Federal Shariat Court in Kharan. Balochistan govt should use all resources to arrest killers &amp; bring them to justice. I send my condolences to the bereaved family.",750,3272
2022-10-14 09:28:36+00:00,CMShehbaz,"Congratulations to Team Pakistan 🇵🇰 🏏 for a great series win. And what an amazing finish today with Nawaz, Haider &amp; Harris playing significant role. All the best to Babar-11 for the upcoming T20 World Cup.",968,6777
2022-10-14 06:40:45+00:00,CMShehbaz,"Deeper engagement with Central Asian Repubics is central plank of our govt's aims to rebuild &amp; strengthen Pakistan's foreign policy that was damaged by IK. In all my interactions with world leaders, I am forcefully presenting Pakistan as a credible partner ready to do business.",630,2643
2022-10-13 13:26:30+00:00,ImranKhanPTI,which He dispenses according to our deeds. Those who have allowed the biggest criminals not only to evade accountability after stealing billions from the nation but to come to power again are destined to be humiliated.,10768,30632
2022-10-13 13:26:30+00:00,ImranKhanPTI,"Azam Swati's custodial torture for a tweet on NRO 2 is yet another shameful act in our history. Can torture &amp; intimidation make people respect any individual or institution? The Holy Quran teaches us respect &amp; humiliation are solely in Allah's jurisdiction,",17508,47645
2022-10-13 13:22:26+00:00,CMShehbaz,"At CICA Summit, I explained how India uses the mantra of democracy to hide its gross human rights abuses. The world should recognise brutal nature of Indian policies in IIOJK. The terrorised valley of Kashmir is manifestation of bullet being a preferred Indian policy than ballot.",645,2180
2022-10-13 13:20:59+00:00,CMShehbaz,"In my address at the CICA Summit earlier today, I explained the health &amp; food challenges in the post-flood reconstruction phase, needing international engagement. Human solidarity can help overcome the challenge of climate change.",709,2281
2022-10-13 07:26:16+00:00,CMShehbaz,Great meeting with H.E. President Ilham Aliyev on the sidelines of CICA Summit. We built on our discussions during SCO last month. Grateful to the President for his offer of support to help Pakistan meet the need for urea in view of challenges during coming sowing season. 🇵🇰 🇦🇿,590,2283
2022-10-12 04:24:30+00:00,CMShehbaz,"As the world faces the prospect of a recession fuelled by increase in the energy &amp; food prices, there is a greater need to promote engagement &amp; understanding to form win-win partnerships. Climate induced disasters call for synergized efforts for mutually beneficial outcomes.",248,976
2022-10-12 04:23:45+00:00,CMShehbaz,Leaving for Kazakhstan 🇰🇿 today to attend the 6th Summit of the Conference on Interaction and Confidence Building Measures in Asia (CICA). I believe CICA is capable of shaping a new configuration of economic cooperation &amp; security in Asia through greater connectivity.,765,3137
2022-10-11 04:40:03+00:00,CMShehbaz,"Deeply grieved at passing of prominent Kashmiri leader Altaf Shah, son-in-law of Syed Ali Geelani, while in Indian captivity. Modi regime denied him treatment despite knowing he was cancer patient. Custodial killings are norm in Modi's India. My condolences to the bereaved family",749,2766
2022-10-10 17:49:53+00:00,CMShehbaz,Energy imports are the biggest item on our import bill. Pakistan cannot ensure its economic security through heavy reliance on energy imports whose prices have increased sharply. Massive Thar coal reserves offer a grand window of opportunity &amp; they occupy top place on our agenda.,531,2264
2022-10-10 13:46:50+00:00,CMShehbaz,Humbled by the invitation to co-chair the COP27 roundtable in Egypt next month. The world is acknowledging the severity of climate challenge that threatens to stunt our civilization &amp; development. We need to turn this realization into concrete action to combat climate change.,1338,4628
2022-10-10 09:52:52+00:00,ImranKhanPTI,"is responsible for the bugging &amp; who is leaking out the audios many of which are edited/doctored. This is critical bec sensitive security issues are &amp; have been illegally recorded &amp; subsequently hacked, implying confidentiality of Pak's national security has been exposed globally",11037,34711
2022-10-10 09:52:52+00:00,ImranKhanPTI,"The AudioLeaks are a serious breach of national security as they call into question the entire security of the PMO, PMH. As PM my secure line at my residence was also bugged. We intend to go to Court to estab authenticity of Leaks &amp; then form JIT to investigate which Intel agency",15888,49741
2022-10-08 07:31:09+00:00,CMShehbaz,Pakistan welcomes the adoption of a resolution by UN General Assembly to support its reconstruction efforts. The world should respond vigorously to the UN revised aid appeal &amp; provide access to climate finance &amp; debt relief to Pakistan. These actions are critical at this stage.,609,2418
2022-10-08 05:49:38+00:00,CMShehbaz,The 8th of October is one of the darkest days in our nation's history. It brings back the heart-wrenching memories of the earthquake of 2005. The massive loss of life our people suffered continues to sadden us to this day. May the departed souls rest in eternal peace! Ameen,741,3404
2022-10-07 17:11:48+00:00,CMShehbaz,"Consistency and hard work are ingredients for success.

Congratulations to our Women's cricket team for beating the archrivals in a T20 match today. Well played. 

Pakistan 🇵🇰 is proud of you.",663,3720
2022-10-07 16:19:56+00:00,ImranKhanPTI,Above all they have given themselves immunity from their corruption cases worth 1100 billion.,7328,24581
2022-10-07 12:44:56+00:00,CMShehbaz,Latest audio leak exposes the hypocrisy of Imran Niazi. Someone who does not tire of lecturing nation on morality is himself blantantly involved in immoral horse trading. His fraudulent nature is being exposed every day. Niazi's anti-state actions make him unfit for high office.,1735,5904
2022-10-07 09:35:05+00:00,CMShehbaz,It could not get more gruesome than this. We are deeply shocked &amp; hurt to learn about the killing of 3 dozen people including 23 children &amp; infants in Thailand. Have no words to condemn this barbarity. We send our deepest condolences to the bereaved parents &amp; people of Thailand.,700,2956
2022-10-05 09:29:02+00:00,CMShehbaz,"Revised UN appeal for $816 million for flood victims underscores need for continued global engagement. With food &amp; health crisis becoming graver,we need to ramp up action. Thank you @antonioguterres for your leadership in articulating needs of people affected by disastrous floods",654,2452
2022-10-05 08:47:02+00:00,CMShehbaz,Spoke to @BBhuttoZardari to inquire after the health of PPP Co-Chairman Asif Ali Zardari. I conveyed my prayers and best wishes to him for early recovery and complete health of Zardari sahib.,975,5425
2022-10-04 19:15:51+00:00,ImranKhanPTI,"I thank our overseas donors who waited patiently while we were setting up an account to facilitate flood-relief donations. Details as follows:
Title: Insaf Relief Foundation 
No. 7004109
Southwestern National Bank; 2951 West Ball Road, Suite 100
Anaheim, CA 92804
tel:714-822-6101",11714,39404
2022-10-04 16:53:35+00:00,CMShehbaz,"Grateful to European Union, particularly  @vonderleyen, President of @EU_Commission for the announcement of €30 million in new EU humanitarian aid for Pakistan. Gravity of food &amp; health challenges can be met through deeper cooperation from the world.",557,2232
2022-10-04 14:44:34+00:00,ImranKhanPTI,"I also want to thank millions of donors &amp; supporters who make it possible for us to continue providing world class cancer treatment completely free of charge to over 75% of our patients. I have always said there is nothing we can't achieve as a nation, if we put our minds to it.",10092,36042
2022-10-04 14:44:32+00:00,ImranKhanPTI,"as well as our diagnostic centres in Karachi &amp; Lahore have all been awarded the JCI’s Gold Seal of Approval, the global gold standard for excellence in quality healthcare. I want to thank the thousands of people who work at Shaukat Khanum for their hard work and dedication.",10047,36441
2022-10-04 14:44:31+00:00,ImranKhanPTI,"I am delighted to announce that Shaukat Khanum has become only the second organisation in the world to be awarded full Enterprise Accreditation by the Joint Commission International. After a gruelling three-week survey in Aug/Sept 2022, our hospitals in Lahore &amp; Peshawar,",20071,69076
2022-10-04 10:27:34+00:00,CMShehbaz,"By launching a campaign against our armed forces &amp; its leadership, Imran Niazi wants to coerce them into supporting his lust for power. Let me make it clear: his design to weaken the prestigious institution will never materalise. After audio leaks, his desperation has increased.",1195,4487
2022-10-02 14:44:34+00:00,CMShehbaz,"Our Chinese friends continue helping the flood victims in Pakistan. Total volume of aid has increased from 400 million RMB to 644 million RMB. We are deeply obliged to Chinese govt, CPC, Red Cross Society of China, sister provinces &amp; People's Liberation Army for the assistance.",1131,4627
2022-10-01 15:44:14+00:00,CMShehbaz,We send our deepest condolences &amp; most sincere sympathies to @POTUS and the government &amp; the people of the United States on the loss of precious lives &amp; damages in the hurricane Ian. Our thoughts and prayers are with the bereaved families.,694,3217
2022-10-01 05:11:35+00:00,CMShehbaz,"Personally, I am deeply touched by the Chinese adherence to remarkable work ethic &amp; national discipline. This explains how China has been able to lift 800 million people out of acute poverty. At this stage in our national life, work, work &amp; work alone can lift us out of crises.",373,1725
2022-10-01 05:11:35+00:00,CMShehbaz,"China offers a promise of hope to developing world beset by multiple crises relating to climate, finance, food &amp; energy.Chinese template of inter-state relations prioritizes cooperation over confrontation &amp; is the governing principle in formation of a Community of Common Destiny.",352,1718
2022-10-01 05:11:34+00:00,CMShehbaz,"On the National Day of China, I extend our heartiest greetings to H.E. President Xi Jinping, H.E. Premier Li Keqiang &amp; the people of China. The peaceful rise of China as the second largest economy &amp; paramount global power is a source of stability in a perpetually changing world.",880,4149
2022-09-30 15:56:20+00:00,CMShehbaz,Let the gravity of this sink in: a former PM conspired with his aides to twist a routine diplomatic cypher for his selfish political motives knowing well this would harm Pak national interest. IK had no qualms damaging Pakistan while sitting in PM off. If hypocrisy had a face...,2269,7603
2022-09-30 08:57:50+00:00,CMShehbaz,Deeply grieved at the loss of young lives in a horrific suicide attack at a learning center in Kabul. Words can't express this sheer barbarism. We send our deepest condolences &amp; most sincere sympathies to the bereaved families &amp; people of Afghanistan.,595,2633
2022-09-30 05:19:11+00:00,CMShehbaz,Avenfield Reference highlights how system of accountability was used to discredit &amp; defame Mian Nawaz Sharif &amp; Maryam Nawaz.Such a vendetta-driven process led to disruption of the country's democratic evolution &amp; caused political instability that took a terrible toll on politics.,1577,5190
2022-09-29 13:22:15+00:00,ImranKhanPTI,Congratulations to Crown Prince Mohammed bin Salman on being appointed Prime Minister of the Kingdom of Saudi Arabia. Your friendship &amp; support for Pakistan is invaluable and with your vision you will usher the Kingdom into a new era.,15191,69872
2022-09-29 10:09:18+00:00,CMShehbaz,"The edifice of lies, slander &amp; character assassination has come crumbling down today. Maryam Nawaz's acquittal in the Avenfield Reference is a slap in the face of so-called accountability system that was employed to target Sharif family. My congratulations to Maryam Beti &amp; Safdar",2811,8989
2022-09-28 13:32:30+00:00,CMShehbaz,Congratulations @GiorgiaMeloni on success in the Italian general elections. I look forward to working closely with the new government for further strengthening  Pakistan- Italy  bilateral relations. 🇵🇰 🇮🇹,663,4197
2022-09-28 06:47:47+00:00,CMShehbaz,professionalism &amp; commitment with which he served the nation during these difficult times.,452,2926
2022-09-28 06:47:33+00:00,CMShehbaz,"I want to commend Dr Miftah Ismail for his public service as finance minister. Taking up one of the toughest jobs at the height of economic crisis, he led the effort to save Pakistan from default &amp; successfully negotiated the IMF programme. I have the highest respect for the …",1575,8064
2022-09-26 13:41:52+00:00,ImranKhanPTI,"Tragic army heli crash in which 6 soldiers were martyred, near Khost, Harnai Balochistan. My deepest condolences and prayers go to the families of these brave soldiers.",15149,57392
2022-09-25 19:19:44+00:00,CMShehbaz,"The manner in which Marriyum Aurangzeb dealt with the harassment from the PTI supporters shows her grace. By her calm &amp; honorable conduct, she exposed the ugly face of the harassers &amp; their promoters. 

We are proud of her.",2967,12526
2022-09-25 17:00:34+00:00,CMShehbaz,"Presenting Pakistan's case at both the international forums was the result of excellent team work. I particularly appreciate Foreign Minister Bilawal Bhutto, Minister for Information Marriyum Aurangzeb &amp; Minister for Climate Change Sherry Rehman for their hard work &amp; assistance.",294,1185
2022-09-25 17:00:33+00:00,CMShehbaz,"In our meetings with a wide array of global leaders &amp; other stakeholders during SCO &amp; UNGA, my team and I made an earnest effort to present Pakistan as a credible partner ready to do business with the world. The damage inflicted on our foreign policy needed a healing touch.",668,2944
2022-09-24 09:13:47+00:00,CMShehbaz,"In addition to stating Pakistan's position on issues critical to our foreign policy, I made it clear to world that Pakistan desires peaceful &amp; good neighbourly relations with India. For this, India should reverse post-August 2019 actions &amp; stop the process of demographic change.",502,1798
2022-09-24 09:13:46+00:00,CMShehbaz,The crux of my speech at UNGA was to warn the world of what stares humanity in the face. The climate-induced calamity Pakistan is facing today will not stay in Pakistan if no urgent action is taken. Let global response not be guided by cameras but empathey &amp; concern for humankind,1117,4368
2022-09-23 09:14:51+00:00,CMShehbaz,"There is primarily one argument I made in my interview with Bloomberg. Given the vast scale &amp; extent of destruction caused by the floods, the rich countries should consider giving debt relief to Pakistan so that we can stand up on our feet. Climate disaster is not of our making.",956,3731
2022-09-23 08:41:51+00:00,CMShehbaz,"As I continued my interaction with world leaders on day 3 of UNGA Session, there has been a massive outpouring of sympathy &amp; solidarity with Pakistan on flood disaster.Time has come for world to translate this solidarity into concrete action to help Pakistan overcome this crisis.",1317,4314
2022-09-22 17:55:56+00:00,CMShehbaz,"152/0, and now 203/0. 

Baber &amp; Rizwan 🇵🇰 👏",4631,44749
2022-09-22 09:49:37+00:00,CMShehbaz,"Pakistan thanks Angelina Jolie, a special UN envoy, and other unsung heroes for becoming the voice of millions of people whose lives &amp; livelihoods have been destroyed by raging floodwaters. We will forever remember their empathy &amp; compassion for suffering humanity.",770,3727
2022-09-22 08:02:37+00:00,CMShehbaz,"On the 2nd of #UNGA,my discussions with top officials of IMF &amp; World Bank focused on making resources available within our existing programs for post-flood reconstruction. In my other meetings with world leaders,we discussed floods, climate change&amp; rehabilitation of flood victims",517,1748
2022-09-22 07:33:35+00:00,CMShehbaz,"Thank you President @JoeBiden for highlighting the plight of the flood victims in Pakistan and urging the world for an immediate response, as my country is facing the ravages of unprecedented floods. The calls of stranded women &amp; children for help need to be heeded to. #UNGA",1021,3937
2022-09-21 06:35:29+00:00,CMShehbaz,"In my interactions with the world leaders on the sidelines of #UNGA Session, I apprised them of the flood disaster &amp; highlighted the need for a collective action to deal with climate change. I also told them Pakistan is keen to build partnerships in the realms of trade &amp; economy.",572,2258
2022-09-20 05:43:39+00:00,CMShehbaz,"Reached NY a few hours ago to tell Pakistan's story to the world, a story of deep anguish &amp; pain arising out of a massive human tragedy caused by floods. In my address at UNGA &amp; bilateral meetings, I will present Pakistan's case on issues that call for world's immediate attention",1336,5325
2022-09-20 03:56:57+00:00,CMShehbaz,Deeply touched by Palestinians' gesture of sending their Rapid Response &amp; Rescue team to help flood victims in Pakistan. It is a reflection of a strong bond of love &amp; brotherhood we have for each other. We will never forget this gesture. Grateful to President Mahmoud Abbas. 🇵🇰 🇵🇸,1089,4963
2022-09-19 04:15:16+00:00,CMShehbaz,I express my sincere sympathy to the people &amp; government of Japan who are facing the ravages of Hurricane Nanmodal. Only goes to show that climate change does not follow a linear pattern &amp; can bring disaster to any country. The world needs to wake up to horrors of this monster.,680,3349
2022-09-19 03:51:55+00:00,ImranKhanPTI,"including three barrages conserving 270 bn litres of water for much needed aquifer of Lahore. Rakh Jhok, initiated last yr, is part of 5000 acres of reforestation environment plan. Embankments will be built with innovative method of using natural soil to prevent flooding.",7011,22687
2022-09-18 03:57:53+00:00,ImranKhanPTI,@CBDPunjab tasked with converting dead capital into viable transactions channeling wealth generation for the country. Similar projects with immense potential will be launched across Punjab leading to econ growth &amp; prosperity by providing multiple opportunities for domestic &amp; FDI.,7426,23788
2022-09-16 16:10:01+00:00,CMShehbaz,Deeply saddened to hear about the demise of HRH Prince Abdulkarim bin Saud bin Abdulaziz Al-Saud. May Allah Almighty rest the departed soul in peace! I extend my most sincere condolences to the Royal family.,573,3097
2022-09-16 13:56:21+00:00,CMShehbaz,Leaving Samarkand on a satisfactory note. There is now a renewed awareness about the potent threat of climate change. SCO countries understand it is capable of reversing all our material development &amp; pushing us backward by decades. All the more reason for a united front.,1166,4855
2022-09-16 12:30:01+00:00,CMShehbaz,"In my speech at CHS-SCO today in Samarkand, I asked member countries to renew their search for regional solutions to problems that threaten to undermine our shared peace &amp; development. Building a wall against climate change is one such imperative that we ignore at our own peril.",591,2482
2022-09-16 11:01:28+00:00,CMShehbaz,"Deeply saddened to learn about the passing of Fahd Husain's father, Brig. (r ) Javed Husain. I extend my heartfelt condolences and most sincere sympathies to the bereaved family &amp; pray to Allah Almighty to rest the departed soul in peace. Ameen",700,3554
2022-09-16 09:12:10+00:00,ImranKhanPTI,Imported govt is completely directionless. The only achievement of this cabal of crooks has been to get another NRO for the billions they looted from Pakistan. The question the whole nation is asking is: Who is responsible for this conspiracy against Pakistan?,10521,30140
2022-09-16 09:12:09+00:00,ImranKhanPTI,"in terms of growth rate (6%), industry, agriculture, employment, construction, exports, remittances &amp; tax collection - at an all time high. Now Pakistan faces unprecedented inflation hitting everyone, unemployment, food insecurity &amp; Rupee in freefall.",10396,30538
2022-09-16 09:12:08+00:00,ImranKhanPTI,IMF &amp; World Bank Reports show this Imported Govt has failed to prevent economy going into tailspin despite inheriting a stabilised economy moving on an upward trajectory. This was reflected in the Economic Survey which identified our econ  performance as the best in past 70 yrs,15610,43514
2022-09-16 04:19:23+00:00,CMShehbaz,"Dear brother @presidentaz, we are saddened on hearing news of the loss of more than 70 Azerbaijani servicemen in unprovoked attack by Armenia. The people of Pakistan stand in solidarity with their brethren &amp; support Azerbaijan’s right to defend its territorial integrity.",908,4689
2022-09-15 19:06:03+00:00,CMShehbaz,"It was a long but productive day in Samarkand. In my meetings with leaders of our friendly countries, we agreed on enhancing trade &amp; investment. I explained the flood ravages due to climate change. Food &amp; energy shortages present a real challenge to our shared development agenda.",1532,6219
2022-09-15 04:10:32+00:00,CMShehbaz,Pakistan reiterates its commitment to 'Shanghai Spirit'. Mutual respect &amp; trust can be the bedrock of shared development &amp; prosperity. The SCO has a great potential to chart a way forward at a time of deeply worrying transformation in the geo-political &amp; geo-economic fields.,195,988
2022-09-15 04:10:32+00:00,CMShehbaz,Leaving for Uzbekistan today to attend the meeting of the Council of Heads of State of the SCO. The global economic turbulence has necessitated the need for more cooperation among the SCO member countries. The SCO vision represents the aspirations of 40% of world population.,649,3357
2022-09-13 17:29:46+00:00,ImranKhanPTI,Their desperation led to their blacking out our Telethon for flood relief. Today they raided Senator Saif Nyazee's home &amp; took away his cell &amp; computer. Imported govt &amp; handlers are pushing us to the wall. I am warning them there will be consequences they will have to face.,11717,32900
2022-09-13 17:29:45+00:00,ImranKhanPTI,"On the one hand Imported govt telling us to stop doing politics bec of floods &amp; on the other hand they are increasing their level of harassment &amp; false cases against us, persecuting journalists who give our views a voice, suspending TV channels &amp; YouTube to prevent my coverage.",17225,48044
2022-09-13 06:54:22+00:00,CMShehbaz,"3rd International Seminar of Asia-Pacific Parliaments on Sustainable Development Goals, starting in Islamabad today, should priortize climate change as the foremost global challenge. Dream of achieving SDGs cannot be realised without empowering countries to fight climate threat.",453,1790
2022-09-12 16:22:13+00:00,CMShehbaz,"In my meeting with Mr. Duarte Pacheco, President of Inter-Parliamentary Union today, a representative body of 178 Parliaments, I underscored how fake news poses a threat to democracy. Together with fabrication, it can rob people of their democratic rights &amp; violate human rights.",522,2073
2022-09-12 09:39:39+00:00,ImranKhanPTI,"We know your cabal of crooks &amp; handlers are petrified of PTI popularity. But if you are not responsible for violating our constitutional rights &amp; int commitments on freedom of press &amp; speech, then it is your responsibility to inform nation who is responsible for these actions?",11186,29323
2022-09-12 09:39:39+00:00,ImranKhanPTI,"Question for Shahbaz Sharif: Are you, out of PTI-fear, responsible for media gags on us, threat &amp; violence against journalists &amp; fake cases against them, forcing blackout of PTI &amp; myself from TV &amp; YouTube &amp; the callous act of trying to blackout my flood relief telethon?",16910,44757
2022-09-12 06:11:35+00:00,ImranKhanPTI,Despite all this we managed to raise Rs 5.2 billion in just 2 hours. I want to thank everyone who pledged incl our overseas Pakistanis especially those based in the US.,11489,33547
